param buszDb :=25;
set Szerelok := Jozsi Pityu;
param napDb :=30;

param ellenorzes :=
1 5
2 6
3 3
4 7
5 4
6 8
7 5
8 8
9 6
10 9
11 5
12 8
13 6
14 4
15 7
16 8
17 5
18 3
19 9
20 6
21 4
22 5
23 9
24 9
25 7
;

param kIdo : Jozsi Pityu :=
1 3.1 3.2
2 3.0 3.3
3 3.0 3.2
4 2.6 3.1
5 3.0 3.2
6 3.1 3.3
7 2.7 3.0
8 3.1 3.3
9 3.2 3.3
10 2.9 3.1
11 3.2 3.4
12 3.0 3.2
13 2.4 2.3
14 3.0 2.8
15 3.1 2.9 
16 3.3 3.0
17 2.9 2.7
18 3.1 3.0
19 3.0 2.6
20 2.8 2.6
21 3.2 3.0
22 1.9 1.8
23 2.6 2.5
24 3.1 3.0
25 3.0 2.7
;

param beosztas :=
1 Jozsi
2 Pityu
3 Pityu
4 Jozsi
5 Pityu
6 Pityu
7 Pityu
8 Jozsi
9 Jozsi
10 Pityu
11 Jozsi
12 Jozsi
13 Pityu
14 Jozsi
15 Pityu
16 Pityu
17 Pityu
18 Jozsi
19 Jozsi
20 Pityu
21 Jozsi
22 Pityu
23 Jozsi
24 Jozsi
25 Pityu
26 Jozsi
27 Pityu
28 Jozsi
29 Jozsi
30 Pityu
;

param garazskapacitas :=5;
param munkaora :=8;
